Team,Repository,Role
frigga-cloud,onlinesales-ai/dataflow-frigga,admin
frigga-cloud,onlinesales-ai/datasync-shared-config,admin
frigga-cloud,onlinesales-ai/dblib,admin
frigga-cloud,onlinesales-ai/demo-java-app,admin
frigga-cloud,onlinesales-ai/engageService,write
frigga-cloud,onlinesales-ai/financeService,write
frigga-cloud,onlinesales-ai/frigga-engageService,admin
frigga-cloud,onlinesales-ai/frigga-testing-daemon,write
frigga-cloud,onlinesales-ai/gcp-alerts-terraform,write
frigga-cloud,onlinesales-ai/gcp-infra,admin
frigga-cloud,onlinesales-ai/gradle-wrapper,admin
frigga-cloud,onlinesales-ai/hadesObjects,admin
frigga-cloud,onlinesales-ai/hadesV2,write
frigga-cloud,onlinesales-ai/hotstarSharedLib,write
frigga-cloud,onlinesales-ai/httpRequest,admin
frigga-cloud,onlinesales-ai/hyperlocalCampaignConfidenceScorePopulator,write
frigga-cloud,onlinesales-ai/hyperlocalForecastingModelTrainingFlow,write
frigga-cloud,onlinesales-ai/instoreAdServer,write
frigga-cloud,onlinesales-ai/instoreCMSSync,write
frigga-cloud,onlinesales-ai/instoreSchedulingConsumer,write
frigga-cloud,onlinesales-ai/instoreService,write
frigga-cloud,onlinesales-ai/java-daemon-app-template,write
frigga-cloud,onlinesales-ai/java-offline-app-template,write
frigga-cloud,onlinesales-ai/java-shared-lib-template,write
frigga-cloud,onlinesales-ai/java-tomcat-app-template,write
frigga-cloud,onlinesales-ai/jobWrapper,write
frigga-cloud,onlinesales-ai/kamService,write
frigga-cloud,onlinesales-ai/kuberService,write
frigga-cloud,onlinesales-ai/lmsCrmSyncApp,write
frigga-cloud,onlinesales-ai/lmsNodeEventManagerConsumer,write
frigga-cloud,onlinesales-ai/localium-catalog-svc,write
frigga-cloud,onlinesales-ai/logger,admin
frigga-cloud,onlinesales-ai/logger_frigga,admin
frigga-cloud,onlinesales-ai/marketingService,write
frigga-cloud,onlinesales-ai/molocoSharedLib,write
frigga-cloud,onlinesales-ai/multiVerseService,write
frigga-cloud,onlinesales-ai/navigatorService,write
frigga-cloud,onlinesales-ai/novuWorkflows,write
frigga-cloud,onlinesales-ai/offerService,write
frigga-cloud,onlinesales-ai/os-2c2p-client,admin
frigga-cloud,onlinesales-ai/os-adserver-util,write
frigga-cloud,onlinesales-ai/os-common-middlewares,admin
frigga-cloud,onlinesales-ai/os-infra-terraform,write
frigga-cloud,onlinesales-ai/os-pay-pal-ad-server-setup-terraform,admin
frigga-cloud,onlinesales-ai/os-pay-pal-vpc-setup-terraform,admin
frigga-cloud,onlinesales-ai/os-pyutils,write
frigga-cloud,onlinesales-ai/os-pyutils-frigga,admin
frigga-cloud,onlinesales-ai/os-terraform,admin
frigga-cloud,onlinesales-ai/os-terraform-vpc,admin
frigga-cloud,onlinesales-ai/osAdsAudienceRedisPusherApp,write
frigga-cloud,onlinesales-ai/osAdsTargetingProcessorApp,write
frigga-cloud,onlinesales-ai/osFacebookClient,write
frigga-cloud,onlinesales-ai/osFileStreamProcessorApp,write
frigga-cloud,onlinesales-ai/osGoogleAdsClient,write
frigga-cloud,onlinesales-ai/osmos-advertiser-suggestion-generator,write
frigga-cloud,onlinesales-ai/osmos-icu-tokenizer,write
frigga-cloud,onlinesales-ai/osmos-inference-svc,write
frigga-cloud,onlinesales-ai/osmos-keyword-curator-app,write
frigga-cloud,onlinesales-ai/osPackageLauncher,write
frigga-cloud,onlinesales-ai/osPackageSvc,write
frigga-cloud,onlinesales-ai/osSchedulesArgoSyncer,write
frigga-cloud,onlinesales-ai/osSvcClient4pyV2,write
frigga-cloud,onlinesales-ai/osSvcClient4pyV2-frigga,admin
frigga-cloud,onlinesales-ai/osTiktokAdsClient,write
frigga-cloud,onlinesales-ai/plaAdServer,write
frigga-cloud,onlinesales-ai/plaAdServer-frigga,admin
frigga-cloud,onlinesales-ai/pmaxLauncher,write
frigga-cloud,onlinesales-ai/propertySettingsSvcV2_frigga,admin
