Team,Repository,Role
osmos-client-delight-write,onlinesales-ai/osAudienceUpdator,maintain
osmos-client-delight-write,onlinesales-ai/osFileStreamProcessorApp,write
osmos-client-delight-write,onlinesales-ai/osmos-api-qa,write
osmos-client-delight-write,onlinesales-ai/osmos-display-adserver-api-qa,maintain
osmos-client-delight-write,onlinesales-ai/osmos-flutter-sdk,write
osmos-client-delight-write,onlinesales-ai/osmos-icu-tokenizer,maintain
osmos-client-delight-write,onlinesales-ai/osmos-web-sdk,write
osmos-client-delight-write,onlinesales-ai/osPackageLauncher,maintain
osmos-client-delight-write,onlinesales-ai/osPackageSvc,maintain
osmos-client-delight-write,onlinesales-ai/osSolrLoaderApp,write
osmos-client-delight-write,onlinesales-ai/osSvcClient4pyV2,write
osmos-client-delight-write,onlinesales-ai/plaAdServer,write
osmos-client-delight-write,onlinesales-ai/placement-automation,write
osmos-client-delight-write,onlinesales-ai/pmaxLauncher,read
osmos-client-delight-write,onlinesales-ai/publisher-svc,write
osmos-client-delight-write,onlinesales-ai/reportService,write
osmos-client-delight-write,onlinesales-ai/reviewService,write
osmos-client-delight-write,onlinesales-ai/revXAdServerNodeV2,write
osmos-client-delight-write,onlinesales-ai/storeFeedSync,write
osmos-client-delight-write,onlinesales-ai/trackm,write
osmos-client-delight-write,onlinesales-ai/ubidEmailPusher,write
osmos-client-delight-write,onlinesales-ai/workflowEngine,maintain
osmos-data,onlinesales-ai/aresJobGen,read
osmos-data,onlinesales-ai/butlerService,read
osmos-data,onlinesales-ai/campaign_debugger_agent,write
osmos-data,onlinesales-ai/dataValidationExecutorV2,read
osmos-data,onlinesales-ai/instoreAdServer,read
osmos-data,onlinesales-ai/onboardingScripts,read
osmos-data,onlinesales-ai/revxScripts,read
osmos-data,onlinesales-ai/trackm,read
osmos-data,onlinesales-ai/trackmConfigs,read
osmos-data-admin,onlinesales-ai/aresJobGen,admin
osmos-data-admin,onlinesales-ai/butlerService,read
osmos-data-admin,onlinesales-ai/campaign_debugger_agent,write
osmos-data-admin,onlinesales-ai/dataValidationExecutorV2,admin
osmos-data-admin,onlinesales-ai/instoreAdServer,read
osmos-data-admin,onlinesales-ai/onboardingScripts,admin
osmos-data-admin,onlinesales-ai/revxScripts,admin
osmos-data-admin,onlinesales-ai/trackm,admin
osmos-data-admin,onlinesales-ai/trackmConfigs,read
osmos-data-contractual,onlinesales-ai/aresJobGen,write
osmos-data-contractual,onlinesales-ai/dataValidationExecutorV2,write
osmos-data-write,onlinesales-ai/aresJobGen,write
osmos-data-write,onlinesales-ai/butlerService,read
osmos-data-write,onlinesales-ai/campaign_debugger_agent,write
osmos-data-write,onlinesales-ai/dataValidationExecutorV2,write
osmos-data-write,onlinesales-ai/instoreAdServer,read
osmos-data-write,onlinesales-ai/kamService,write
osmos-data-write,onlinesales-ai/mediaPythonScripts,write
osmos-data-write,onlinesales-ai/navigatorService,write
osmos-data-write,onlinesales-ai/onboardingScripts,write
osmos-data-write,onlinesales-ai/osmos-claude-plugins,write
osmos-data-write,onlinesales-ai/revxScripts,write
osmos-data-write,onlinesales-ai/sofie-ai,write
osmos-data-write,onlinesales-ai/sofie-finance-agent,write
osmos-data-write,onlinesales-ai/sofie-research-agent,write
osmos-data-write,onlinesales-ai/sofie-shared,write
osmos-data-write,onlinesales-ai/trackm,write
osmos-data-write,onlinesales-ai/trackmConfigs,write
osmos-media,onlinesales-ai/ad-server-test,read
osmos-media,onlinesales-ai/adserver-deployment-monitoring,read
osmos-media,onlinesales-ai/aresJobGen,read
osmos-media,onlinesales-ai/brandAdServerV2,read
osmos-media,onlinesales-ai/campaignCloner,maintain
osmos-media,onlinesales-ai/campaign_debugger_agent,write
osmos-media,onlinesales-ai/engageService,read
osmos-media,onlinesales-ai/engageServiceConsumer,read
osmos-media,onlinesales-ai/financeService,read
osmos-media,onlinesales-ai/kuberService,read
osmos-media,onlinesales-ai/marketingService,read
osmos-media,onlinesales-ai/marketingServiceConsumer,read
osmos-media,onlinesales-ai/marketplaceBillingApplication,read
osmos-media,onlinesales-ai/mediaPythonScripts,read
osmos-media,onlinesales-ai/mediaRubyScripts,read
osmos-media,onlinesales-ai/navigatorService,read
osmos-media,onlinesales-ai/osAdsAudienceRedisPusherApp,write
osmos-media,onlinesales-ai/osAdsTargetingProcessorApp,write
osmos-media,onlinesales-ai/osAudienceUpdator,read
osmos-media,onlinesales-ai/osFileStreamProcessorApp,read
osmos-media,onlinesales-ai/osmos-api-qa,read
osmos-media,onlinesales-ai/osmos-events-api-qa,read
osmos-media,onlinesales-ai/osSolrLoaderApp,read
osmos-media,onlinesales-ai/osSvcClient4pyV2,read
osmos-media,onlinesales-ai/plaAdServer,read
osmos-media,onlinesales-ai/reportService,read
osmos-media,onlinesales-ai/revXAdServerNodeV2,read
osmos-media,onlinesales-ai/test-backend,read
osmos-media,onlinesales-ai/ubidEmailPusher,read
osmos-media-admin,onlinesales-ai/ad-server-test,admin
osmos-media-admin,onlinesales-ai/adserver-deployment-monitoring,read
osmos-media-admin,onlinesales-ai/aresJobGen,admin
osmos-media-admin,onlinesales-ai/brandAdServerV2,admin
osmos-media-admin,onlinesales-ai/campaignCloner,maintain
osmos-media-admin,onlinesales-ai/campaignUserActionConsumer,admin
osmos-media-admin,onlinesales-ai/campaign_debugger_agent,write
osmos-media-admin,onlinesales-ai/engageService,read
osmos-media-admin,onlinesales-ai/engageServiceConsumer,read
osmos-media-admin,onlinesales-ai/financeService,read
osmos-media-admin,onlinesales-ai/kuberService,read
osmos-media-admin,onlinesales-ai/marketingService,admin
osmos-media-admin,onlinesales-ai/marketingServiceConsumer,admin
osmos-media-admin,onlinesales-ai/marketplaceBillingApplication,admin
osmos-media-admin,onlinesales-ai/mediaPythonScripts,admin
osmos-media-admin,onlinesales-ai/mediaRubyScripts,admin
osmos-media-admin,onlinesales-ai/navigatorService,read
osmos-media-admin,onlinesales-ai/onboardingScripts,admin
osmos-media-admin,onlinesales-ai/osAdsAudienceRedisPusherApp,write
osmos-media-admin,onlinesales-ai/osAdsTargetingProcessorApp,write
osmos-media-admin,onlinesales-ai/osAudienceUpdator,admin
osmos-media-admin,onlinesales-ai/osFileStreamProcessorApp,admin
osmos-media-admin,onlinesales-ai/osmos-api-qa,admin
osmos-media-admin,onlinesales-ai/osmos-display-adserver-api-qa,admin
osmos-media-admin,onlinesales-ai/osmos-events-api-qa,read
osmos-media-admin,onlinesales-ai/osSolrLoaderApp,admin
osmos-media-admin,onlinesales-ai/osSvcClient4pyV2,read
osmos-media-admin,onlinesales-ai/plaAdServer,admin
osmos-media-admin,onlinesales-ai/reportService,admin
osmos-media-admin,onlinesales-ai/revXAdServerNodeV2,admin
osmos-media-admin,onlinesales-ai/test-backend,admin
osmos-media-admin,onlinesales-ai/ubidEmailPusher,admin
osmos-media-write,onlinesales-ai/ad-server-test,write
osmos-media-write,onlinesales-ai/adserver-deployment-monitoring,read
osmos-media-write,onlinesales-ai/aresJobGen,write
osmos-media-write,onlinesales-ai/beamEventProcessor,write
osmos-media-write,onlinesales-ai/brandAdServerV2,write
osmos-media-write,onlinesales-ai/campaignCloner,maintain
osmos-media-write,onlinesales-ai/campaignUserActionConsumer,write
osmos-media-write,onlinesales-ai/campaign_debugger_agent,write
osmos-media-write,onlinesales-ai/engageService,read
osmos-media-write,onlinesales-ai/engageServiceConsumer,read
osmos-media-write,onlinesales-ai/financeService,read
osmos-media-write,onlinesales-ai/kuberService,read
osmos-media-write,onlinesales-ai/marketingService,write
osmos-media-write,onlinesales-ai/marketingServiceConsumer,write
osmos-media-write,onlinesales-ai/marketplaceBillingApplication,write
osmos-media-write,onlinesales-ai/mediaPythonScripts,maintain
osmos-media-write,onlinesales-ai/mediaRubyScripts,maintain
osmos-media-write,onlinesales-ai/navigatorService,read
osmos-media-write,onlinesales-ai/onboardingScripts,write
osmos-media-write,onlinesales-ai/os-svc-client,write
osmos-media-write,onlinesales-ai/osAdsAudienceRedisPusherApp,write
osmos-media-write,onlinesales-ai/osAdsTargetingProcessorApp,write
osmos-media-write,onlinesales-ai/osAudienceUpdator,maintain
osmos-media-write,onlinesales-ai/osFileStreamProcessorApp,maintain
osmos-media-write,onlinesales-ai/osmos-api-qa,write
osmos-media-write,onlinesales-ai/osmos-display-adserver-api-qa,write
osmos-media-write,onlinesales-ai/osmos-events-api-qa,write
osmos-media-write,onlinesales-ai/osPackageSvc,write
osmos-media-write,onlinesales-ai/osSolrLoaderApp,write
osmos-media-write,onlinesales-ai/osSvcClient4pyV2,read
osmos-media-write,onlinesales-ai/plaAdServer,write
osmos-media-write,onlinesales-ai/reportService,write
osmos-media-write,onlinesales-ai/revXAdServerNodeV2,write
osmos-media-write,onlinesales-ai/storeFeedSync,write
osmos-media-write,onlinesales-ai/test-backend,write
osmos-media-write,onlinesales-ai/ubidEmailPusher,write
osmos-offsite-admin,onlinesales-ai/aresJobGen,admin
osmos-offsite-admin,onlinesales-ai/budgetEngine,admin
osmos-offsite-admin,onlinesales-ai/financeService,read
osmos-offsite-admin,onlinesales-ai/launcherSharedLib,write
osmos-offsite-admin,onlinesales-ai/onboardingScripts,admin
osmos-offsite-admin,onlinesales-ai/osAudienceUpdator,admin
osmos-offsite-admin,onlinesales-ai/osFacebookClient,admin
osmos-offsite-admin,onlinesales-ai/pmaxLauncher,admin
osmos-offsite-admin,onlinesales-ai/temporalWorkflowTriggerConsumer,admin
osmos-offsite-admin,onlinesales-ai/tiktokLauncher,admin
osmos-offsite-admin,onlinesales-ai/tiktokLauncher-temp,write
osmos-offsite-admin,onlinesales-ai/vendorUploader,admin
osmos-offsite-write,onlinesales-ai/aresJobGen,write
osmos-offsite-write,onlinesales-ai/craftService,write
osmos-offsite-write,onlinesales-ai/financeService,write
osmos-offsite-write,onlinesales-ai/launcherSharedLib,write
osmos-offsite-write,onlinesales-ai/offsiteReportProject,write
osmos-offsite-write,onlinesales-ai/osAudienceUpdator,maintain
osmos-offsite-write,onlinesales-ai/osFacebookClient,write
osmos-offsite-write,onlinesales-ai/osTemporalClient,write
osmos-offsite-write,onlinesales-ai/osTiktokAdsClient,write
osmos-offsite-write,onlinesales-ai/pmaxLauncher,write
osmos-offsite-write,onlinesales-ai/portfolioBidStrategyUpdater,maintain
osmos-offsite-write,onlinesales-ai/temporalWorkflowTriggerConsumer,write
osmos-offsite-write,onlinesales-ai/tiktokLauncher,write
osmos-offsite-write,onlinesales-ai/tiktokLauncher-temp,write
osmos-offsite-write,onlinesales-ai/vendorUploader,write
osmos-performance,onlinesales-ai/adserver-deployment-monitoring,write
osmos-performance,onlinesales-ai/aresJobGen,read
osmos-performance,onlinesales-ai/auditService,read
osmos-performance,onlinesales-ai/brandAdServerV2,read
osmos-performance,onlinesales-ai/butlerService,write
osmos-performance,onlinesales-ai/ds-opc-classification-prediction,write
osmos-performance,onlinesales-ai/ds-opc-classification-training,write
osmos-performance,onlinesales-ai/ds-search-relevancy-repo,read
osmos-performance,onlinesales-ai/ds-sku-sku-relevancy-prediction,write
osmos-performance,onlinesales-ai/ds-sku-sku-relevancy-training,write
osmos-performance,onlinesales-ai/ds-sku-sku-relevancy-v3,read
osmos-performance,onlinesales-ai/experimentalCacheScripts,maintain
osmos-performance,onlinesales-ai/financeService,read
osmos-performance,onlinesales-ai/kamService,read
osmos-performance,onlinesales-ai/mediaPythonScripts,write
osmos-performance,onlinesales-ai/onboardingScripts,write
osmos-performance,onlinesales-ai/os-pyutils,read
osmos-performance,onlinesales-ai/osFileStreamProcessorApp,read
osmos-performance,onlinesales-ai/osmos-advertiser-suggestion-generator,write
osmos-performance,onlinesales-ai/osmos-api-qa,write
osmos-performance,onlinesales-ai/osmos-display-adserver-api-qa,write
osmos-performance,onlinesales-ai/osmos-inference-svc,maintain
osmos-performance,onlinesales-ai/osmos-keyword-curator-app,write
osmos-performance,onlinesales-ai/osmos-perf-irrelevancy-identification,write
osmos-performance,onlinesales-ai/osmos-pla-auto-keyword-targeting-bid-optimizer,write
osmos-performance,onlinesales-ai/osSolrLoaderApp,read
osmos-performance,onlinesales-ai/plaAdServer,read
osmos-performance,onlinesales-ai/revXAdServerNodeV2,read
osmos-performance,onlinesales-ai/sofie-keyword-suggestions-shared-util,write
osmos-performance-admin,onlinesales-ai/adserver-deployment-monitoring,write
osmos-performance-admin,onlinesales-ai/aresJobGen,admin
osmos-performance-admin,onlinesales-ai/auditService,read
osmos-performance-admin,onlinesales-ai/brandAdServerV2,admin
osmos-performance-admin,onlinesales-ai/butlerService,write
osmos-performance-admin,onlinesales-ai/ds-opc-classification-prediction,write
osmos-performance-admin,onlinesales-ai/ds-opc-classification-training,admin
osmos-performance-admin,onlinesales-ai/ds-search-relevancy-repo,admin
osmos-performance-admin,onlinesales-ai/ds-sku-sku-relevancy-prediction,admin
osmos-performance-admin,onlinesales-ai/ds-sku-sku-relevancy-training,admin
osmos-performance-admin,onlinesales-ai/ds-sku-sku-relevancy-v3,admin
osmos-performance-admin,onlinesales-ai/experimentalCacheScripts,maintain
osmos-performance-admin,onlinesales-ai/financeService,read
osmos-performance-admin,onlinesales-ai/kamService,admin
osmos-performance-admin,onlinesales-ai/mediaPythonScripts,write
osmos-performance-admin,onlinesales-ai/onboardingScripts,admin
osmos-performance-admin,onlinesales-ai/os-pyutils,admin
osmos-performance-admin,onlinesales-ai/osFileStreamProcessorApp,admin
osmos-performance-admin,onlinesales-ai/osmos-advertiser-suggestion-generator,admin
osmos-performance-admin,onlinesales-ai/osmos-api-qa,admin
osmos-performance-admin,onlinesales-ai/osmos-display-adserver-api-qa,admin
osmos-performance-admin,onlinesales-ai/osmos-inference-svc,admin
osmos-performance-admin,onlinesales-ai/osmos-keyword-curator-app,write
osmos-performance-admin,onlinesales-ai/osmos-perf-irrelevancy-identification,write
osmos-performance-admin,onlinesales-ai/osmos-pla-auto-keyword-targeting-bid-optimizer,write
osmos-performance-admin,onlinesales-ai/osSolrLoaderApp,admin
osmos-performance-admin,onlinesales-ai/plaAdServer,admin
osmos-performance-admin,onlinesales-ai/revXAdServerNodeV2,admin
osmos-performance-admin,onlinesales-ai/sofie-keyword-suggestions-shared-util,write
osmos-performance-write,onlinesales-ai/adserver-deployment-monitoring,write
osmos-performance-write,onlinesales-ai/aresJobGen,write
osmos-performance-write,onlinesales-ai/asyncJobsService,maintain
osmos-performance-write,onlinesales-ai/auditService,read
osmos-performance-write,onlinesales-ai/brandAdServerV2,write
osmos-performance-write,onlinesales-ai/butlerService,write
osmos-performance-write,onlinesales-ai/ds-opc-classification-prediction,write
osmos-performance-write,onlinesales-ai/ds-opc-classification-training,write
osmos-performance-write,onlinesales-ai/ds-search-relevancy-repo,write
osmos-performance-write,onlinesales-ai/ds-sku-sku-relevancy-prediction,write
osmos-performance-write,onlinesales-ai/ds-sku-sku-relevancy-training,write
osmos-performance-write,onlinesales-ai/ds-sku-sku-relevancy-v3,write
osmos-performance-write,onlinesales-ai/experimentalCacheScripts,maintain
osmos-performance-write,onlinesales-ai/financeService,read
osmos-performance-write,onlinesales-ai/kamService,write
osmos-performance-write,onlinesales-ai/mediaPythonScripts,write
osmos-performance-write,onlinesales-ai/onboardingScripts,write
osmos-performance-write,onlinesales-ai/os-pyutils,write
osmos-performance-write,onlinesales-ai/os-svc-client,write
osmos-performance-write,onlinesales-ai/osFileStreamProcessorApp,maintain
osmos-performance-write,onlinesales-ai/osmos-advertiser-suggestion-generator,write
osmos-performance-write,onlinesales-ai/osmos-api-qa,write
osmos-performance-write,onlinesales-ai/osmos-data-analysis-agent,write
osmos-performance-write,onlinesales-ai/osmos-display-adserver-api-qa,write
osmos-performance-write,onlinesales-ai/osmos-inference-svc,maintain
osmos-performance-write,onlinesales-ai/osmos-keyword-curator-app,write
osmos-performance-write,onlinesales-ai/osmos-perf-irrelevancy-identification,write
osmos-performance-write,onlinesales-ai/osmos-pla-auto-keyword-targeting-bid-optimizer,write
osmos-performance-write,onlinesales-ai/osSolrLoaderApp,write
osmos-performance-write,onlinesales-ai/osSvcClient4pyV2,write
osmos-performance-write,onlinesales-ai/plaAdServer,write
osmos-performance-write,onlinesales-ai/revXAdServerNodeV2,write
osmos-performance-write,onlinesales-ai/sofie-keyword-suggestions-shared-util,write
osmos-qa,onlinesales-ai/osmos-ui-qa,read
osmos-qa-admin,onlinesales-ai/osmos-ui-qa,admin
osmos-qa-write,onlinesales-ai/osmos-ui-qa,write
osmos-rms,onlinesales-ai/adserver-deployment-monitoring,read
osmos-rms,onlinesales-ai/aresJobGen,write
osmos-rms,onlinesales-ai/auditConsumer,read
osmos-rms,onlinesales-ai/auditService,triage
osmos-rms,onlinesales-ai/brand-ads-ui-service-api-qa,read
osmos-rms,onlinesales-ai/butlerService,read
osmos-rms,onlinesales-ai/catalogSyncService,write
osmos-rms,onlinesales-ai/cis-ui,read
osmos-rms,onlinesales-ai/documentation,read
osmos-rms,onlinesales-ai/engageService,read
osmos-rms,onlinesales-ai/engageService-api-qa,read
osmos-rms,onlinesales-ai/engageServiceConsumer,read
osmos-rms,onlinesales-ai/financeService,read
osmos-rms,onlinesales-ai/financeServiceConsumer_deprecated,read
osmos-rms,onlinesales-ai/instoreService,read
osmos-rms,onlinesales-ai/kam-service-api-qa,read
osmos-rms,onlinesales-ai/kamService,read
osmos-rms,onlinesales-ai/kuberService,read
osmos-rms,onlinesales-ai/marketingService,read
osmos-rms,onlinesales-ai/multiVerseService,read
osmos-rms,onlinesales-ai/navigatorService,read
osmos-rms,onlinesales-ai/novuWorkflows,read
osmos-rms,onlinesales-ai/onboardingScripts,write
osmos-rms,onlinesales-ai/os-client-tracker,read
osmos-rms,onlinesales-ai/os-cms,read
osmos-rms,onlinesales-ai/OS-Debezium,read
osmos-rms,onlinesales-ai/os-pyutils,read
osmos-rms,onlinesales-ai/osAudienceUpdator,read
osmos-rms,onlinesales-ai/osFileStreamProcessorApp,read
osmos-rms,onlinesales-ai/osmos-api-qa,read
osmos-rms,onlinesales-ai/osmos-display-adserver-api-qa,read
osmos-rms,onlinesales-ai/osmos-inference-svc,read
osmos-rms,onlinesales-ai/osPackageLauncher,write
osmos-rms,onlinesales-ai/osPackageSvc,read
osmos-rms,onlinesales-ai/osSolrLoaderApp,read
osmos-rms,onlinesales-ai/reportService,read
osmos-rms,onlinesales-ai/revxScripts,read
osmos-rms,onlinesales-ai/storeFeedSync,read
osmos-rms,onlinesales-ai/uploader-ui,read
osmos-rms-admin,onlinesales-ai/adserver-deployment-monitoring,read
osmos-rms-admin,onlinesales-ai/aresJobGen,admin
osmos-rms-admin,onlinesales-ai/audit-service-api-qa,admin
osmos-rms-admin,onlinesales-ai/auditConsumer,read
osmos-rms-admin,onlinesales-ai/auditService,admin
osmos-rms-admin,onlinesales-ai/brand-ads-ui-service-api-qa,read
osmos-rms-admin,onlinesales-ai/butlerService,admin
osmos-rms-admin,onlinesales-ai/catalogSyncService,admin
osmos-rms-admin,onlinesales-ai/cis-ui,admin
osmos-rms-admin,onlinesales-ai/documentation,admin
osmos-rms-admin,onlinesales-ai/engageService,admin
osmos-rms-admin,onlinesales-ai/engageService-api-qa,admin
osmos-rms-admin,onlinesales-ai/engageServiceConsumer,admin
osmos-rms-admin,onlinesales-ai/financeService,admin
osmos-rms-admin,onlinesales-ai/financeServiceConsumer_deprecated,admin
osmos-rms-admin,onlinesales-ai/instoreService,read
osmos-rms-admin,onlinesales-ai/kam-service-api-qa,admin
osmos-rms-admin,onlinesales-ai/kamService,admin
osmos-rms-admin,onlinesales-ai/keywordTargetingService-api-qa,admin
osmos-rms-admin,onlinesales-ai/kuberService,admin
osmos-rms-admin,onlinesales-ai/marketingService,admin
osmos-rms-admin,onlinesales-ai/multiVerseService,admin
osmos-rms-admin,onlinesales-ai/navigatorService,admin
osmos-rms-admin,onlinesales-ai/novuWorkflows,admin
osmos-rms-admin,onlinesales-ai/onboardingScripts,admin
osmos-rms-admin,onlinesales-ai/os-client-tracker,admin
osmos-rms-admin,onlinesales-ai/os-cms,admin
osmos-rms-admin,onlinesales-ai/OS-Debezium,read
osmos-rms-admin,onlinesales-ai/os-pyutils,read
osmos-rms-admin,onlinesales-ai/osAudienceUpdator,admin
osmos-rms-admin,onlinesales-ai/osFileStreamProcessorApp,admin
osmos-rms-admin,onlinesales-ai/osmos-api-qa,read
osmos-rms-admin,onlinesales-ai/osmos-display-adserver-api-qa,read
osmos-rms-admin,onlinesales-ai/osmos-inference-svc,read
osmos-rms-admin,onlinesales-ai/osPackageLauncher,write
osmos-rms-admin,onlinesales-ai/osPackageSvc,admin
osmos-rms-admin,onlinesales-ai/osSolrLoaderApp,read
osmos-rms-admin,onlinesales-ai/reportService,admin
osmos-rms-admin,onlinesales-ai/retailer-service-api-qa,admin
osmos-rms-admin,onlinesales-ai/revxScripts,read
osmos-rms-admin,onlinesales-ai/storeFeedSync,admin
osmos-rms-admin,onlinesales-ai/uploader-ui,admin
osmos-rms-interns,onlinesales-ai/aresJobGen,write
osmos-rms-interns,onlinesales-ai/asyncJobsService,write
osmos-rms-interns,onlinesales-ai/auditService,write
osmos-rms-interns,onlinesales-ai/butlerService,write
osmos-rms-interns,onlinesales-ai/catalogSyncService,write
osmos-rms-interns,onlinesales-ai/engageService,write
osmos-rms-interns,onlinesales-ai/financeService,write
osmos-rms-interns,onlinesales-ai/kamService,write
osmos-rms-interns,onlinesales-ai/kuberService,read
osmos-rms-interns,onlinesales-ai/marketingService,write
osmos-rms-interns,onlinesales-ai/navigatorService,write
osmos-rms-interns,onlinesales-ai/offerService,write
osmos-rms-interns,onlinesales-ai/osPackageLauncher,write
osmos-rms-interns,onlinesales-ai/osPackageSvc,write
osmos-rms-interns,onlinesales-ai/osPackageSvcConsumer,write
osmos-rms-interns,onlinesales-ai/reportService,write
osmos-rms-ui-write,onlinesales-ai/adserver-deployment-monitoring,read
osmos-rms-ui-write,onlinesales-ai/aresJobGen,write
osmos-rms-ui-write,onlinesales-ai/auditConsumer,read
osmos-rms-ui-write,onlinesales-ai/auditService,triage
osmos-rms-ui-write,onlinesales-ai/brand-ads-ui-service-api-qa,write
osmos-rms-ui-write,onlinesales-ai/butlerService,read
osmos-rms-ui-write,onlinesales-ai/catalogSyncService,write
osmos-rms-ui-write,onlinesales-ai/cis-ui,read
osmos-rms-ui-write,onlinesales-ai/documentation,read
osmos-rms-ui-write,onlinesales-ai/engageService,read
osmos-rms-ui-write,onlinesales-ai/engageService-api-qa,read
osmos-rms-ui-write,onlinesales-ai/engageServiceConsumer,read
osmos-rms-ui-write,onlinesales-ai/financeService,read
osmos-rms-ui-write,onlinesales-ai/financeServiceConsumer_deprecated,read
osmos-rms-ui-write,onlinesales-ai/instoreService,read
osmos-rms-ui-write,onlinesales-ai/kam-service-api-qa,read
osmos-rms-ui-write,onlinesales-ai/kamService,read
osmos-rms-ui-write,onlinesales-ai/kuberService,read
osmos-rms-ui-write,onlinesales-ai/marketingService,read
osmos-rms-ui-write,onlinesales-ai/multiVerseService,write
osmos-rms-ui-write,onlinesales-ai/navigatorService,read
osmos-rms-ui-write,onlinesales-ai/novuWorkflows,read
osmos-rms-ui-write,onlinesales-ai/onboardingScripts,write
osmos-rms-ui-write,onlinesales-ai/os-client-tracker,read
osmos-rms-ui-write,onlinesales-ai/os-cms,read
osmos-rms-ui-write,onlinesales-ai/OS-Debezium,read
osmos-rms-ui-write,onlinesales-ai/os-pyutils,read
osmos-rms-ui-write,onlinesales-ai/osAudienceUpdator,read
osmos-rms-ui-write,onlinesales-ai/osFileStreamProcessorApp,read
osmos-rms-ui-write,onlinesales-ai/osmos-api-qa,read
osmos-rms-ui-write,onlinesales-ai/osmos-display-adserver-api-qa,read
osmos-rms-ui-write,onlinesales-ai/osmos-iframe-sdk,write
osmos-rms-ui-write,onlinesales-ai/osmos-inference-svc,read
osmos-rms-ui-write,onlinesales-ai/osPackageLauncher,write
osmos-rms-ui-write,onlinesales-ai/osPackageSvc,read
osmos-rms-ui-write,onlinesales-ai/osSolrLoaderApp,read
osmos-rms-ui-write,onlinesales-ai/reportService,read
osmos-rms-ui-write,onlinesales-ai/revxScripts,read
osmos-rms-ui-write,onlinesales-ai/storeFeedSync,read
osmos-rms-ui-write,onlinesales-ai/uploader-ui,read
osmos-rms-write,onlinesales-ai/adserver-deployment-monitoring,read
osmos-rms-write,onlinesales-ai/aresJobGen,write
osmos-rms-write,onlinesales-ai/asyncJobsService,write
osmos-rms-write,onlinesales-ai/audience-segment-api-qa,write
osmos-rms-write,onlinesales-ai/audit-service-api-qa,write
osmos-rms-write,onlinesales-ai/auditConsumer,write
osmos-rms-write,onlinesales-ai/auditService,write
osmos-rms-write,onlinesales-ai/brand-ads-ui-service-api-qa,read
osmos-rms-write,onlinesales-ai/butlerService,write
osmos-rms-write,onlinesales-ai/catalogSyncService,write
osmos-rms-write,onlinesales-ai/cis-ui,write
osmos-rms-write,onlinesales-ai/comment-service-api-qa,write
osmos-rms-write,onlinesales-ai/documentation,write
osmos-rms-write,onlinesales-ai/engageService,write
osmos-rms-write,onlinesales-ai/engageService-api-qa,write
osmos-rms-write,onlinesales-ai/engageServiceConsumer,write
osmos-rms-write,onlinesales-ai/financeService,write
osmos-rms-write,onlinesales-ai/financeServiceConsumer_deprecated,write
osmos-rms-write,onlinesales-ai/flairminds,write
osmos-rms-write,onlinesales-ai/instoreService,read
osmos-rms-write,onlinesales-ai/kam-service-api-qa,write
osmos-rms-write,onlinesales-ai/kamService,write
osmos-rms-write,onlinesales-ai/keywordTargetingService-api-qa,write
osmos-rms-write,onlinesales-ai/kuber-service-api-qa,write
osmos-rms-write,onlinesales-ai/kuberService,write
osmos-rms-write,onlinesales-ai/marketing-api-qa,write
osmos-rms-write,onlinesales-ai/marketingService,write
osmos-rms-write,onlinesales-ai/mediaPythonScripts,write
osmos-rms-write,onlinesales-ai/multiVerseService,write
osmos-rms-write,onlinesales-ai/navigatorService,write
osmos-rms-write,onlinesales-ai/novuWorkflows,write
osmos-rms-write,onlinesales-ai/offerService,write
osmos-rms-write,onlinesales-ai/onboarding-service-api-qa,write
osmos-rms-write,onlinesales-ai/onboardingScripts,write
osmos-rms-write,onlinesales-ai/os-bullmq,write
osmos-rms-write,onlinesales-ai/os-client-tracker,write
osmos-rms-write,onlinesales-ai/os-cms,write
osmos-rms-write,onlinesales-ai/OS-Debezium,read
osmos-rms-write,onlinesales-ai/os-pyutils,read
osmos-rms-write,onlinesales-ai/osAudienceUpdator,read
osmos-rms-write,onlinesales-ai/osFileStreamProcessorApp,maintain
osmos-rms-write,onlinesales-ai/osmos-api-qa,read
osmos-rms-write,onlinesales-ai/osmos-display-adserver-api-qa,read
osmos-rms-write,onlinesales-ai/osmos-inference-svc,read
osmos-rms-write,onlinesales-ai/osPackageLauncher,write
osmos-rms-write,onlinesales-ai/osPackageSvc,write
osmos-rms-write,onlinesales-ai/osPackageSvcConsumer,write
osmos-rms-write,onlinesales-ai/osSolrLoaderApp,read
osmos-rms-write,onlinesales-ai/reportService,write
osmos-rms-write,onlinesales-ai/retailer-service-api-qa,write
osmos-rms-write,onlinesales-ai/revxScripts,read
osmos-rms-write,onlinesales-ai/storeFeedSync,write
osmos-rms-write,onlinesales-ai/uploader-ui,write
osmos-rms-write,onlinesales-ai/user-tagging-api-qa,write
osmos-sdk,onlinesales-ai/android-os-sdk,read
osmos-sdk,onlinesales-ai/android-osmos-sdk-source,read
osmos-sdk,onlinesales-ai/demo-mobile-apps,read
osmos-sdk,onlinesales-ai/flutter-os-sdk,read
osmos-sdk,onlinesales-ai/flutter-osmos-sdk-source,read
osmos-sdk,onlinesales-ai/ios-os-sdk,read
osmos-sdk,onlinesales-ai/ios-osmos-sdk-source,read
osmos-sdk,onlinesales-ai/osmos-react-native-sdk-demo,read
